year,provider,methodology,flow_type,indicator,value
2020,Finland,Rio Markers,usd_commitment,Adaptation,41272896
2020,Finland,Rio Markers,usd_commitment,Cross-cutting,49853510
2020,Finland,Rio Markers,usd_commitment,Mitigation,74245780
2021,Finland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,144947740
2021,Finland,Rio Markers,usd_commitment,Adaptation,90688540
2021,Finland,Rio Markers,usd_commitment,Cross-cutting,148518800
2021,Finland,Rio Markers,usd_commitment,Mitigation,71095970
2022,Finland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,74899950
2022,Finland,Rio Markers,usd_commitment,Adaptation,21730344
2022,Finland,Rio Markers,usd_commitment,Cross-cutting,96475000
2022,Finland,Rio Markers,usd_commitment,Mitigation,10022424
2012,France,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,15975305
2012,France,Rio Markers,usd_commitment,Adaptation,722942300
2012,France,Rio Markers,usd_commitment,Cross-cutting,228907970
2012,France,Rio Markers,usd_commitment,Mitigation,3783634700
2013,France,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,195482780
2013,France,Rio Markers,usd_commitment,Adaptation,369254200
2013,France,Rio Markers,usd_commitment,Cross-cutting,232737980
2013,France,Rio Markers,usd_commitment,Mitigation,1968449500
2014,France,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,217143400
2014,France,Rio Markers,usd_commitment,Adaptation,650325440
2014,France,Rio Markers,usd_commitment,Cross-cutting,522997440
2014,France,Rio Markers,usd_commitment,Mitigation,1948883700
2015,France,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,381314850
2015,France,Rio Markers,usd_commitment,Adaptation,748315800
2015,France,Rio Markers,usd_commitment,Cross-cutting,461455780
2015,France,Rio Markers,usd_commitment,Mitigation,2429321200
2016,France,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,286356580
2016,France,Rio Markers,usd_commitment,Adaptation,714176100
2016,France,Rio Markers,usd_commitment,Cross-cutting,366680480
2016,France,Rio Markers,usd_commitment,Mitigation,2017005400
2017,France,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,798325440
2017,France,Rio Markers,usd_commitment,Adaptation,899055170
2017,France,Rio Markers,usd_commitment,Cross-cutting,830979650
2017,France,Rio Markers,usd_commitment,Mitigation,2682926300
2018,France,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,783984200
2018,France,Rio Markers,usd_commitment,Adaptation,311237920
2018,France,Rio Markers,usd_commitment,Cross-cutting,402160600
2018,France,Rio Markers,usd_commitment,Mitigation,1266357500
2019,France,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,593030500
2019,France,Rio Markers,usd_commitment,Adaptation,1322067600
2019,France,Rio Markers,usd_commitment,Cross-cutting,1341679200
2019,France,Rio Markers,usd_commitment,Mitigation,2803261400
2020,France,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,360733400
2020,France,Rio Markers,usd_commitment,Adaptation,2249638000
2020,France,Rio Markers,usd_commitment,Cross-cutting,3008914400
2020,France,Rio Markers,usd_commitment,Mitigation,2284882000
2021,France,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,841173060
2021,France,Rio Markers,usd_commitment,Adaptation,4569364500
2021,France,Rio Markers,usd_commitment,Cross-cutting,50952710
2021,France,Rio Markers,usd_commitment,Mitigation,3042468000
2022,France,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1409031400
2022,France,Rio Markers,usd_commitment,Adaptation,1346098700
2022,France,Rio Markers,usd_commitment,Cross-cutting,3725019100
2022,France,Rio Markers,usd_commitment,Mitigation,3094431200
2012,Germany,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,50245264
2012,Germany,Rio Markers,usd_commitment,Adaptation,984672700
2012,Germany,Rio Markers,usd_commitment,Cross-cutting,577749700
2012,Germany,Rio Markers,usd_commitment,Mitigation,2061165000
2013,Germany,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,427299040
2013,Germany,Rio Markers,usd_commitment,Adaptation,1308140300
2013,Germany,Rio Markers,usd_commitment,Cross-cutting,512973630
2013,Germany,Rio Markers,usd_commitment,Mitigation,2212406500
2014,Germany,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,442147300
2014,Germany,Rio Markers,usd_commitment,Adaptation,1626618100
2014,Germany,Rio Markers,usd_commitment,Cross-cutting,1203359700
2014,Germany,Rio Markers,usd_commitment,Mitigation,4524431000
2015,Germany,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,430561570
2015,Germany,Rio Markers,usd_commitment,Adaptation,1583280600
2015,Germany,Rio Markers,usd_commitment,Cross-cutting,921934850
2015,Germany,Rio Markers,usd_commitment,Mitigation,2693585000
2016,Germany,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,608424900
2016,Germany,Rio Markers,usd_commitment,Adaptation,1373664800
2016,Germany,Rio Markers,usd_commitment,Cross-cutting,1031201500
2016,Germany,Rio Markers,usd_commitment,Mitigation,4365330000
2017,Germany,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,619284800
2017,Germany,Rio Markers,usd_commitment,Adaptation,1770729900
2017,Germany,Rio Markers,usd_commitment,Cross-cutting,1617004200
2017,Germany,Rio Markers,usd_commitment,Mitigation,3336866300
2018,Germany,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,835416450
2018,Germany,Rio Markers,usd_commitment,Adaptation,2173724700
2018,Germany,Rio Markers,usd_commitment,Cross-cutting,1771457200
2018,Germany,Rio Markers,usd_commitment,Mitigation,4059674000
2019,Germany,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,541192960
2019,Germany,Rio Markers,usd_commitment,Adaptation,2918573000
2019,Germany,Rio Markers,usd_commitment,Cross-cutting,1723139500
2019,Germany,Rio Markers,usd_commitment,Mitigation,3509745700
2020,Germany,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,633009000
2020,Germany,Rio Markers,usd_commitment,Adaptation,2690948000
2020,Germany,Rio Markers,usd_commitment,Cross-cutting,1851137200
2020,Germany,Rio Markers,usd_commitment,Mitigation,3796472300
2021,Germany,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1142579100
2021,Germany,Rio Markers,usd_commitment,Adaptation,2806430700
2021,Germany,Rio Markers,usd_commitment,Cross-cutting,3677591000
2021,Germany,Rio Markers,usd_commitment,Mitigation,2930395100
2022,Germany,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1077864800
2022,Germany,Rio Markers,usd_commitment,Adaptation,3565802800
2022,Germany,Rio Markers,usd_commitment,Cross-cutting,3446268200
2022,Germany,Rio Markers,usd_commitment,Mitigation,5399045000
2012,Greece,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1256475.2
2012,Greece,Rio Markers,usd_commitment,Cross-cutting,429658.72
2013,Greece,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,293648.56
2013,Greece,Rio Markers,usd_commitment,Cross-cutting,462361.16
2014,Greece,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,108335.83
2014,Greece,Rio Markers,usd_commitment,Adaptation,46517.188
2014,Greece,Rio Markers,usd_commitment,Cross-cutting,206518.52
2015,Greece,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,124015.53
2015,Greece,Rio Markers,usd_commitment,Cross-cutting,194325.02
2016,Greece,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,192237.1
2016,Greece,Rio Markers,usd_commitment,Cross-cutting,956795.3
2017,Greece,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,3816214.8
2017,Greece,Rio Markers,usd_commitment,Cross-cutting,230222.08
2018,Greece,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,5886550
2018,Greece,Rio Markers,usd_commitment,Cross-cutting,2075.7607
2019,Greece,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,3341198
2020,Greece,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,3541513.5
2020,Greece,Rio Markers,usd_commitment,Cross-cutting,19077.645
2021,Greece,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,8849371
2022,Greece,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,280634.66
2014,Hungary,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,4599564.5
2015,Hungary,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,3606056.5
2016,Hungary,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,7000767
2017,Hungary,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,2857649.2
2018,Hungary,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,2832307
2019,Hungary,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,3902822.5
2019,Hungary,Rio Markers,usd_commitment,Adaptation,1864074.5
2019,Hungary,Rio Markers,usd_commitment,Cross-cutting,477764.47
2020,Hungary,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,6411201
2020,Hungary,Rio Markers,usd_commitment,Adaptation,1006
2020,Hungary,Rio Markers,usd_commitment,Cross-cutting,27956956
2021,Hungary,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,8965228
2021,Hungary,Rio Markers,usd_commitment,Cross-cutting,13213795
2021,Hungary,Rio Markers,usd_commitment,Mitigation,239170
2022,Hungary,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,13102401
2022,Hungary,Rio Markers,usd_commitment,Adaptation,435911.94
2012,Iceland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,352695.12
2012,Iceland,Rio Markers,usd_commitment,Adaptation,3019255.8
2012,Iceland,Rio Markers,usd_commitment,Cross-cutting,3777605.8
2012,Iceland,Rio Markers,usd_commitment,Mitigation,789005.75
2013,Iceland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,780351.4
2013,Iceland,Rio Markers,usd_commitment,Adaptation,4754092
2013,Iceland,Rio Markers,usd_commitment,Cross-cutting,4502100
2013,Iceland,Rio Markers,usd_commitment,Mitigation,744816
2014,Iceland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1267939.9
2014,Iceland,Rio Markers,usd_commitment,Adaptation,4403391
2014,Iceland,Rio Markers,usd_commitment,Cross-cutting,5223840
2014,Iceland,Rio Markers,usd_commitment,Mitigation,384535
2015,Iceland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1560491.8
2015,Iceland,Rio Markers,usd_commitment,Adaptation,4943410
2015,Iceland,Rio Markers,usd_commitment,Cross-cutting,3829781
2016,Iceland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1385138.5
2016,Iceland,Rio Markers,usd_commitment,Adaptation,5006430
2016,Iceland,Rio Markers,usd_commitment,Cross-cutting,4430887
2016,Iceland,Rio Markers,usd_commitment,Mitigation,140801
2017,Iceland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1780436.1
2017,Iceland,Rio Markers,usd_commitment,Adaptation,5175242
2017,Iceland,Rio Markers,usd_commitment,Cross-cutting,4929422
2017,Iceland,Rio Markers,usd_commitment,Mitigation,418358
2018,Iceland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,2130091.5
2018,Iceland,Rio Markers,usd_commitment,Adaptation,4729015
2018,Iceland,Rio Markers,usd_commitment,Cross-cutting,2675584.2
2018,Iceland,Rio Markers,usd_commitment,Mitigation,5056070
2019,Iceland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1532093.1
2019,Iceland,Rio Markers,usd_commitment,Adaptation,7862567
2019,Iceland,Rio Markers,usd_commitment,Cross-cutting,4132592.8
2019,Iceland,Rio Markers,usd_commitment,Mitigation,3390347.8
2020,Iceland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1858851.5
2020,Iceland,Rio Markers,usd_commitment,Adaptation,6033732
2020,Iceland,Rio Markers,usd_commitment,Cross-cutting,3378538.8
2020,Iceland,Rio Markers,usd_commitment,Mitigation,2369942.8
2021,Iceland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,2722288
2021,Iceland,Rio Markers,usd_commitment,Adaptation,7563180
2021,Iceland,Rio Markers,usd_commitment,Cross-cutting,5797090
2021,Iceland,Rio Markers,usd_commitment,Mitigation,5216480
2022,Iceland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,4615688
2022,Iceland,Rio Markers,usd_commitment,Adaptation,6113732.5
2022,Iceland,Rio Markers,usd_commitment,Cross-cutting,8038162.5
2022,Iceland,Rio Markers,usd_commitment,Mitigation,4631270.5
2012,Ireland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,933665.06
2012,Ireland,Rio Markers,usd_commitment,Adaptation,83589550
2012,Ireland,Rio Markers,usd_commitment,Cross-cutting,7223022
2013,Ireland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,12319201
2013,Ireland,Rio Markers,usd_commitment,Adaptation,23561228
2013,Ireland,Rio Markers,usd_commitment,Cross-cutting,43724660
2013,Ireland,Rio Markers,usd_commitment,Mitigation,5314640
2014,Ireland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,9138838
2014,Ireland,Rio Markers,usd_commitment,Adaptation,36867164
2014,Ireland,Rio Markers,usd_commitment,Cross-cutting,49226212
2014,Ireland,Rio Markers,usd_commitment,Mitigation,242576
2015,Ireland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,10801863
2015,Ireland,Rio Markers,usd_commitment,Adaptation,31201372
2015,Ireland,Rio Markers,usd_commitment,Cross-cutting,33967490
2016,Ireland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,11733479
2016,Ireland,Rio Markers,usd_commitment,Adaptation,41010160
2016,Ireland,Rio Markers,usd_commitment,Cross-cutting,45693030
2016,Ireland,Rio Markers,usd_commitment,Mitigation,854648
2017,Ireland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,14239461
2017,Ireland,Rio Markers,usd_commitment,Adaptation,49419668
2017,Ireland,Rio Markers,usd_commitment,Cross-cutting,43115148
2017,Ireland,Rio Markers,usd_commitment,Mitigation,1268940
2018,Ireland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,17168816
2018,Ireland,Rio Markers,usd_commitment,Adaptation,55683430
2018,Ireland,Rio Markers,usd_commitment,Cross-cutting,14119650
2018,Ireland,Rio Markers,usd_commitment,Mitigation,3298116
2019,Ireland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,24197216
2019,Ireland,Rio Markers,usd_commitment,Adaptation,54053600
2019,Ireland,Rio Markers,usd_commitment,Cross-cutting,49810960
2019,Ireland,Rio Markers,usd_commitment,Mitigation,967864
2020,Ireland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,29809454
2020,Ireland,Rio Markers,usd_commitment,Adaptation,38761130
2020,Ireland,Rio Markers,usd_commitment,Cross-cutting,45286330
2020,Ireland,Rio Markers,usd_commitment,Mitigation,1427164
2021,Ireland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,37273844
2021,Ireland,Rio Markers,usd_commitment,Adaptation,46013704
2021,Ireland,Rio Markers,usd_commitment,Cross-cutting,49704390
2021,Ireland,Rio Markers,usd_commitment,Mitigation,3215964
2022,Ireland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,40570796
2022,Ireland,Rio Markers,usd_commitment,Adaptation,88016930
2022,Ireland,Rio Markers,usd_commitment,Cross-cutting,47948588
2022,Ireland,Rio Markers,usd_commitment,Mitigation,3401664
2015,Israel,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,2277122.8
2016,Israel,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,20118980
2017,Israel,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1491200.4
2018,Israel,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,11676534
2019,Israel,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,7991666.5
2020,Israel,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,5888813.5
2021,Israel,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,19690652
2022,Israel,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,9342014
2012,Italy,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,5711378.5
2012,Italy,Rio Markers,usd_commitment,Adaptation,7042340
2012,Italy,Rio Markers,usd_commitment,Cross-cutting,65144436
2012,Italy,Rio Markers,usd_commitment,Mitigation,12294404
2013,Italy,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,142143090
2013,Italy,Rio Markers,usd_commitment,Adaptation,9863496
2013,Italy,Rio Markers,usd_commitment,Cross-cutting,44868060
2013,Italy,Rio Markers,usd_commitment,Mitigation,33450524
2014,Italy,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,154215170
2014,Italy,Rio Markers,usd_commitment,Adaptation,7477196
2014,Italy,Rio Markers,usd_commitment,Cross-cutting,49965180
2014,Italy,Rio Markers,usd_commitment,Mitigation,42541876
2015,Italy,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,155470370
2015,Italy,Rio Markers,usd_commitment,Adaptation,15574080
2015,Italy,Rio Markers,usd_commitment,Cross-cutting,201472100
2015,Italy,Rio Markers,usd_commitment,Mitigation,31718848
2016,Italy,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,139379840
2016,Italy,Rio Markers,usd_commitment,Adaptation,9876804
2016,Italy,Rio Markers,usd_commitment,Cross-cutting,56193524
2016,Italy,Rio Markers,usd_commitment,Mitigation,16574908
2017,Italy,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,329062100
2017,Italy,Rio Markers,usd_commitment,Adaptation,14827840
2017,Italy,Rio Markers,usd_commitment,Cross-cutting,270090460
2017,Italy,Rio Markers,usd_commitment,Mitigation,6214368
2018,Italy,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,252902910
2018,Italy,Rio Markers,usd_commitment,Adaptation,36164536
2018,Italy,Rio Markers,usd_commitment,Cross-cutting,117594856
2018,Italy,Rio Markers,usd_commitment,Mitigation,32073624
2019,Italy,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,273588800
2019,Italy,Rio Markers,usd_commitment,Adaptation,34242640
2019,Italy,Rio Markers,usd_commitment,Cross-cutting,155337150
2019,Italy,Rio Markers,usd_commitment,Mitigation,39884590
2020,Italy,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,321342140
2020,Italy,Rio Markers,usd_commitment,Adaptation,92633470
2020,Italy,Rio Markers,usd_commitment,Cross-cutting,454111040
2020,Italy,Rio Markers,usd_commitment,Mitigation,26651328
2021,Italy,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,442246340
2021,Italy,Rio Markers,usd_commitment,Adaptation,74711300
2021,Italy,Rio Markers,usd_commitment,Cross-cutting,319103400
2021,Italy,Rio Markers,usd_commitment,Mitigation,64493790
2022,Italy,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,218167340
2022,Italy,Rio Markers,usd_commitment,Adaptation,59475010
2022,Italy,Rio Markers,usd_commitment,Cross-cutting,283659840
2022,Italy,Rio Markers,usd_commitment,Mitigation,22660096
2012,Japan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,551200450
2012,Japan,Rio Markers,usd_commitment,Adaptation,2090252300
2012,Japan,Rio Markers,usd_commitment,Cross-cutting,388878880
2012,Japan,Rio Markers,usd_commitment,Mitigation,4097081900
2013,Japan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,440426700
2013,Japan,Rio Markers,usd_commitment,Adaptation,1988522000
2013,Japan,Rio Markers,usd_commitment,Cross-cutting,234856380
2013,Japan,Rio Markers,usd_commitment,Mitigation,5042777600
2014,Japan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,493444130
2014,Japan,Rio Markers,usd_commitment,Adaptation,2033323500
2014,Japan,Rio Markers,usd_commitment,Cross-cutting,295277540
2014,Japan,Rio Markers,usd_commitment,Mitigation,4491428400
2015,Japan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,784623500
2015,Japan,Rio Markers,usd_commitment,Adaptation,2619920600
2015,Japan,Rio Markers,usd_commitment,Cross-cutting,315957470
2015,Japan,Rio Markers,usd_commitment,Mitigation,6024844300
2016,Japan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,818511550
2016,Japan,Rio Markers,usd_commitment,Adaptation,1519797000
2016,Japan,Rio Markers,usd_commitment,Cross-cutting,291166530
2016,Japan,Rio Markers,usd_commitment,Mitigation,7147795000
2017,Japan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,888043600
2017,Japan,Rio Markers,usd_commitment,Adaptation,3379193900
2017,Japan,Rio Markers,usd_commitment,Cross-cutting,107116950
2017,Japan,Rio Markers,usd_commitment,Mitigation,3695959000
2018,Japan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1094132200
2018,Japan,Rio Markers,usd_commitment,Adaptation,1377972700
2018,Japan,Rio Markers,usd_commitment,Cross-cutting,229310500
2018,Japan,Rio Markers,usd_commitment,Mitigation,7969946600
2019,Japan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1153294800
2019,Japan,Rio Markers,usd_commitment,Adaptation,733073800
2019,Japan,Rio Markers,usd_commitment,Cross-cutting,26729752
2019,Japan,Rio Markers,usd_commitment,Mitigation,5529384400
2020,Japan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1056530940
2020,Japan,Rio Markers,usd_commitment,Adaptation,10175115000
2020,Japan,Rio Markers,usd_commitment,Cross-cutting,759438800
2020,Japan,Rio Markers,usd_commitment,Mitigation,4332664300
2021,Japan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1394825700
2021,Japan,Rio Markers,usd_commitment,Adaptation,4070724400
2021,Japan,Rio Markers,usd_commitment,Cross-cutting,213262180
2021,Japan,Rio Markers,usd_commitment,Mitigation,4068196400
2022,Japan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,848013630
2022,Japan,Rio Markers,usd_commitment,Adaptation,3357079600
2022,Japan,Rio Markers,usd_commitment,Cross-cutting,938196600
2022,Japan,Rio Markers,usd_commitment,Mitigation,7534834000
2013,Kazakhstan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,20221.75
2014,Kazakhstan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,152322.88
2015,Kazakhstan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,266624.12
2016,Kazakhstan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,290009.75
2017,Kazakhstan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,15545.7
2018,Kazakhstan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,761754.94
2019,Kazakhstan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1036728.6
2020,Kazakhstan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,772773.25
2020,Kazakhstan,Rio Markers,usd_commitment,Adaptation,6000
2020,Kazakhstan,Rio Markers,usd_commitment,Cross-cutting,4175.1113
2021,Kazakhstan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,131711.52
2022,Kazakhstan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,90419.125
2012,Korea,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,6959928.5
2012,Korea,Rio Markers,usd_commitment,Adaptation,126486330
2012,Korea,Rio Markers,usd_commitment,Cross-cutting,36805576
2012,Korea,Rio Markers,usd_commitment,Mitigation,5952536
2013,Korea,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,53643124
2013,Korea,Rio Markers,usd_commitment,Adaptation,171705440
2013,Korea,Rio Markers,usd_commitment,Cross-cutting,61940344
2013,Korea,Rio Markers,usd_commitment,Mitigation,17701952
2014,Korea,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,75502680
2014,Korea,Rio Markers,usd_commitment,Adaptation,35032730
2014,Korea,Rio Markers,usd_commitment,Cross-cutting,20959848
2014,Korea,Rio Markers,usd_commitment,Mitigation,168464670
2015,Korea,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,66589836
2015,Korea,Rio Markers,usd_commitment,Adaptation,270675740
2015,Korea,Rio Markers,usd_commitment,Cross-cutting,18874430
2015,Korea,Rio Markers,usd_commitment,Mitigation,29603234
2016,Korea,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,123324376
2016,Korea,Rio Markers,usd_commitment,Adaptation,173049000
2016,Korea,Rio Markers,usd_commitment,Cross-cutting,61510250
2016,Korea,Rio Markers,usd_commitment,Mitigation,2469088
2017,Korea,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,145500340
2017,Korea,Rio Markers,usd_commitment,Adaptation,167587280
2017,Korea,Rio Markers,usd_commitment,Cross-cutting,61196132
2017,Korea,Rio Markers,usd_commitment,Mitigation,15778092
2018,Korea,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,166606300
2018,Korea,Rio Markers,usd_commitment,Adaptation,122619410
2018,Korea,Rio Markers,usd_commitment,Cross-cutting,34939170
2018,Korea,Rio Markers,usd_commitment,Mitigation,24208880
2019,Korea,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,167229310
2019,Korea,Rio Markers,usd_commitment,Adaptation,214220820
2019,Korea,Rio Markers,usd_commitment,Cross-cutting,54188628
2019,Korea,Rio Markers,usd_commitment,Mitigation,758381200
2020,Korea,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,121234904
2020,Korea,Rio Markers,usd_commitment,Adaptation,131198690
2020,Korea,Rio Markers,usd_commitment,Cross-cutting,29320028
2020,Korea,Rio Markers,usd_commitment,Mitigation,42211500
2021,Korea,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,184900690
2021,Korea,Rio Markers,usd_commitment,Adaptation,1018769800
2021,Korea,Rio Markers,usd_commitment,Cross-cutting,346745860
2021,Korea,Rio Markers,usd_commitment,Mitigation,73008450
2022,Korea,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,159838030
2022,Korea,Rio Markers,usd_commitment,Adaptation,1275602000
2022,Korea,Rio Markers,usd_commitment,Cross-cutting,353697150
2022,Korea,Rio Markers,usd_commitment,Mitigation,527073280
2013,Kuwait,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,13161806
2014,Kuwait,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,8835019
2016,Kuwait,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,4490160
2017,Kuwait,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,9426050
2020,Kuwait,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,9043914
2015,Latvia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,349968.7
2016,Latvia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,454260.7
2017,Latvia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,411189.44
2017,Latvia,Rio Markers,usd_commitment,Mitigation,28170.443
2018,Latvia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,444938.4
2018,Latvia,Rio Markers,usd_commitment,Cross-cutting,46544.316
2019,Latvia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,604118.44
2019,Latvia,Rio Markers,usd_commitment,Adaptation,1858.2783
2019,Latvia,Rio Markers,usd_commitment,Cross-cutting,3682.9731
2020,Latvia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1072637
2020,Latvia,Rio Markers,usd_commitment,Adaptation,483.19092
2020,Latvia,Rio Markers,usd_commitment,Cross-cutting,2534.473
2021,Latvia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1017575.44
2021,Latvia,Rio Markers,usd_commitment,Adaptation,2582.7812
2021,Latvia,Rio Markers,usd_commitment,Cross-cutting,11825.923
2022,Latvia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,4167339.5
2022,Latvia,Rio Markers,usd_commitment,Adaptation,49708.37
2022,Latvia,Rio Markers,usd_commitment,Cross-cutting,53510.863
2021,Liechtenstein,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,56202.406
2021,Liechtenstein,Rio Markers,usd_commitment,Adaptation,375777.88
